District,Agro_Climatic_Zone,IFS_Model,Description
Kanchipuram,North Eastern Zone,Crop + Dairy + Poultry,"Rice, pearl millet, groundnut and pulses cultivation integrated with dairy cows and poultry units providing diversified income and employment"
Kanchipuram,North Eastern Zone,Crop + Goat + Poultry,"Rainfed crops including groundnut, millets and pulses with goat unit and desi poultry suited to grazing-based systems"
Chengalpattu,North Eastern Zone,Crop + Dairy + Poultry,"Pearl millet, groundnut, pulses and rice cultivation integrated with dairy cattle and backyard poultry for risk management"
Chengalpattu,North Eastern Zone,Crop + Goat + Poultry,"Rainfed crops including groundnut, millets and gingelly with goat rearing and poultry for supplementary income"
Tiruvallur,North Eastern Zone,Crop + Dairy + Poultry,"Rainfed and irrigated cultivation of rice, groundnut and millets integrated with dairy cattle and backyard poultry"
Tiruvallur,North Eastern Zone,Crop + Goat + Poultry,Crop production of cereals and pulses with goat rearing and poultry where grazing land is available
Cuddalore,North Eastern Zone,Crop + Dairy + Poultry,"Pearl millet, groundnut, rice and gingelly cultivation with dairy cattle and poultry integration for stable returns"
Cuddalore,North Eastern Zone,Crop + Goat + Poultry,"Mixed cropping system of millets, pulses and oilseeds with goats and local poultry"
Villupuram,North Eastern Zone,Crop + Dairy + Poultry,"Mixed cropping of groundnut, millets and rice with dairy cattle and poultry for risk buffering"
Villupuram,North Eastern Zone,Crop + Goat + Poultry,Crop-based system of cereals and pulses integrated with goat rearing and poultry
Kallakurichi,North Eastern Zone,Crop + Dairy + Poultry,"Rainfed crops including groundnut, red gram and millets integrated with dairy cattle and poultry"
Kallakurichi,North Eastern Zone,Crop + Goat + Poultry,Dryland crop production of pulses and millets combined with goat rearing and poultry
Vellore,North Eastern Zone,Crop + Dairy + Poultry,"Cereal-pulse cropping systems of finger millet, groundnut and red gram supported by dairy cattle and poultry"
Vellore,North Eastern Zone,Crop + Goat + Poultry,"Dryland crops of millets, groundnut and pulses integrated with goat rearing and poultry"
Tirupathur,North Eastern Zone,Crop + Dairy + Poultry,"Groundnut, pearl millet and pulse cultivation with dairy cattle and poultry units for income stability"
Tirupathur,North Eastern Zone,Crop + Goat + Poultry,Rainfed crops including groundnut and millets with goat rearing and poultry for diversified returns
Ranipet,North Eastern Zone,Crop + Dairy + Poultry,"Crop cultivation of groundnut, millets and pulses integrated with dairy cattle and backyard poultry"
Ranipet,North Eastern Zone,Crop + Goat + Poultry,Mixed cropping of cereals and oilseeds with goat rearing and poultry enterprises
Tiruvannamalai,North Eastern Zone,Crop + Dairy + Poultry,"Groundnut, red gram, finger millet and gingelly cultivation with dairy cattle and poultry"
Tiruvannamalai,North Eastern Zone,Crop + Goat + Poultry,Dryland farming of millets and pulses integrated with goat rearing and poultry
Dharmapuri,North Western Zone,Rainfed Crop + Dairy + Poultry,"Rainfed cultivation of sorghum, millets, groundnut and pulses in 0.80 ha integrated with 3 milch cows and 6 layers of poultry for additional income"
Dharmapuri,North Western Zone,Crop + Dairy + Goat + Mulberry,"Crop production of millets and groundnut in 1.0 ha with 2 milch animals, 6 goats and 0.25 ha mulberry cultivation for sericulture yielding net return of Rs. 28,580/year"
